drug_idx,disease_idx,drug_fp_score,dis_ps_score,gip_drug_score,gip_dis_score,combined_score
517,241,0.1306,0.2013,0.4559,0.3511,0.2064
448,241,0.134,0.1887,0.5923,0.2337,0.2062
432,241,0.1307,0.0972,0.5923,0.5241,0.2061
264,263,0.1003,0.1957,0.5923,0.3794,0.206
69,241,0.1298,0.2013,0.4559,0.3511,0.206
134,31,0.1098,0.1771,0.4559,0.5241,0.206
325,343,0.137,0.1989,0.4559,0.3228,0.206
522,241,0.1298,0.2013,0.4559,0.3511,0.206
298,241,0.1002,0.2616,0.4559,0.3183,0.206
380,242,0.1024,0.1845,0.27,0.7239,0.2059
276,263,0.1208,0.1389,0.5923,0.4459,0.2059
18,108,0.1069,0.1858,0.3509,0.6159,0.2059
144,205,0.1127,0.2382,0.4559,0.3228,0.2057
264,281,0.1116,0.2207,0.4559,0.3794,0.2056
606,155,0.1941,0.1574,0.2078,0.4045,0.2055
380,287,0.1014,0.1217,0.4559,0.7239,0.2052
4,372,0.1143,0.1225,0.3893,0.7239,0.2052
58,235,0.1448,0.1901,0.5241,0.2337,0.2052
472,341,0.1202,0.2472,0.3298,0.3794,0.2052
355,294,0.1023,0.2645,0.3005,0.4459,0.2051
491,72,0.1119,0.2327,0.27,0.5241,0.2051
566,367,0.1983,0.1292,0.3629,0.3075,0.205
619,340,0.1393,0.125,0.3629,0.6159,0.205
325,241,0.1181,0.181,0.5923,0.3228,0.2049
121,294,0.1448,0.2633,0.3005,0.2337,0.2048
659,286,0.1167,0.1306,0.4559,0.6159,0.2047
134,72,0.1193,0.245,0.27,0.4459,0.2047
325,263,0.1253,0.1679,0.5923,0.3228,0.2046
243,265,0.1582,0.2656,0.2246,0.2337,0.2046
3,30,0.1001,0.1577,0.4559,0.6159,0.2046
507,84,0.1157,0.2574,0.4034,0.2907,0.2045
134,140,0.1112,0.1953,0.4559,0.4459,0.2044
522,340,0.1262,0.1761,0.4716,0.4126,0.2043
4,194,0.1324,0.103,0.4559,0.6159,0.2043
508,241,0.1056,0.181,0.5923,0.3794,0.2043
310,281,0.1044,0.1844,0.3509,0.6159,0.2042
310,241,0.1235,0.1173,0.4559,0.6159,0.2041
642,62,0.1153,0.199,0.5923,0.2746,0.204
528,285,0.102,0.205,0.5923,0.3228,0.204
491,194,0.1082,0.1424,0.4559,0.6159,0.204
3,321,0.1186,0.0793,0.5923,0.6159,0.2039
58,62,0.115,0.199,0.5923,0.2746,0.2039
134,84,0.115,0.226,0.4637,0.3228,0.2039
528,71,0.1596,0.2321,0.27,0.2746,0.2039
648,287,0.1006,0.1878,0.5923,0.3794,0.2038
249,140,0.1014,0.1879,0.3509,0.6159,0.2037
194,285,0.1115,0.241,0.4559,0.2987,0.2035
516,84,0.1103,0.297,0.2389,0.3528,0.2035
4,241,0.1078,0.0957,0.5923,0.6159,0.2034
644,279,0.1004,0.3005,0.3971,0.2337,0.2034
310,294,0.1066,0.2747,0.2313,0.4459,0.2034
517,302,0.1086,0.3294,0.2035,0.2987,0.2034
7,204,0.1024,0.1758,0.27,0.7239,0.2033
276,108,0.1191,0.2007,0.4559,0.3794,0.2033
128,286,0.1032,0.1484,0.4559,0.6159,0.2033
249,191,0.1033,0.1115,0.4559,0.7239,0.2031
69,340,0.1238,0.1761,0.4716,0.4126,0.2031
279,95,0.1228,0.2049,0.3554,0.4459,0.203
619,375,0.1115,0.1796,0.3178,0.6159,0.203
517,340,0.1234,0.1761,0.4716,0.4126,0.203
234,166,0.1117,0.3008,0.2936,0.2746,0.2029
447,363,0.1135,0.2212,0.3509,0.4459,0.2028
448,363,0.1128,0.2577,0.4559,0.2337,0.2027
298,363,0.1364,0.2247,0.3509,0.3183,0.2025
347,223,0.1049,0.1778,0.3509,0.6159,0.2024
187,260,0.1307,0.0978,0.3509,0.7239,0.2022
445,203,0.1022,0.1769,0.4559,0.5241,0.2022
619,281,0.103,0.1088,0.4559,0.7239,0.2021
508,32,0.1548,0.1715,0.3509,0.3794,0.2019
298,170,0.1189,0.2321,0.4559,0.2708,0.2017
432,119,0.108,0.2968,0.2632,0.3228,0.2016
13,137,0.1038,0.1188,0.5241,0.6159,0.2016
243,241,0.1228,0.1623,0.5923,0.3228,0.2016
344,206,0.1071,0.1882,0.5923,0.3228,0.2015
279,62,0.1277,0.0563,0.5923,0.6159,0.2015
44,286,0.128,0.1989,0.4559,0.3228,0.2015
432,263,0.1181,0.1022,0.5923,0.5241,0.2014
134,308,0.1252,0.2882,0.2001,0.3228,0.2014
544,286,0.105,0.2524,0.4559,0.2746,0.2013
641,62,0.1098,0.199,0.5923,0.2746,0.2013
619,302,0.1057,0.2011,0.2644,0.6159,0.2012
448,203,0.1092,0.2588,0.4559,0.2337,0.2012
458,62,0.127,0.1541,0.5923,0.3228,0.2012
282,72,0.1034,0.203,0.27,0.6159,0.2012
445,72,0.1538,0.1757,0.27,0.4459,0.2012
180,170,0.1266,0.2068,0.27,0.4879,0.2011
282,95,0.1152,0.1848,0.3554,0.5241,0.201
187,91,0.1161,0.1661,0.2078,0.7239,0.201
347,179,0.1006,0.1802,0.3509,0.6159,0.201
134,223,0.1436,0.1386,0.3509,0.5241,0.2009
648,285,0.1158,0.1525,0.5923,0.3794,0.2008
298,203,0.1126,0.2585,0.3509,0.3183,0.2008
544,62,0.1022,0.2099,0.5923,0.2746,0.2008
488,363,0.1162,0.2279,0.3509,0.3926,0.2008
528,170,0.1222,0.1762,0.5923,0.2746,0.2007
544,260,0.1111,0.2754,0.3509,0.2746,0.2007
619,190,0.1285,0.1794,0.446,0.3794,0.2006
79,241,0.1207,0.1623,0.5923,0.3228,0.2006
272,281,0.1005,0.2766,0.3509,0.3224,0.2006
619,250,0.1319,0.1536,0.27,0.6159,0.2006
249,179,0.1137,0.1477,0.27,0.7239,0.2006
128,400,0.1222,0.0622,0.5923,0.6159,0.2006
487,285,0.1003,0.2419,0.4559,0.3224,0.2006
494,140,0.1516,0.0888,0.4559,0.5241,0.2004
656,59,0.1191,0.1946,0.2078,0.6159,0.2003
648,170,0.1223,0.1588,0.5923,0.3228,0.2003
492,260,0.1138,0.2123,0.3509,0.4459,0.2003
645,363,0.1292,0.1923,0.4559,0.3228,0.2002
249,244,0.1418,0.2107,0.3367,0.3228,0.2001
492,241,0.1159,0.1279,0.5923,0.4459,0.2001
271,140,0.101,0.2589,0.4559,0.2638,0.2001
90,70,0.1624,0.2428,0.2078,0.2525,0.2001
264,287,0.1149,0.1514,0.5923,0.3794,0.2
13,72,0.1182,0.1744,0.27,0.6159,0.2
222,126,0.1158,0.3059,0.27,0.2337,0.2
448,194,0.1128,0.2489,0.4559,0.2337,0.2
460,205,0.1326,0.0523,0.4559,0.7239,0.2
659,31,0.1157,0.1164,0.4559,0.6159,0.2
79,265,0.1487,0.2656,0.2246,0.2337,0.1999
447,84,0.1284,0.2416,0.3569,0.2746,0.1998
44,265,0.1486,0.2656,0.2246,0.2337,0.1998
210,294,0.1585,0.2106,0.2286,0.3445,0.1997
18,279,0.1004,0.2476,0.3056,0.4459,0.1996
612,26,0.1166,0.1396,0.27,0.7239,0.1996
481,260,0.1141,0.2314,0.3509,0.3794,0.1995
236,194,0.1152,0.1158,0.4559,0.6159,0.1995
585,260,0.1087,0.2754,0.3509,0.2746,0.1995
249,343,0.1093,0.1246,0.3509,0.7239,0.1995
642,286,0.1174,0.2255,0.4559,0.2746,0.1994
187,82,0.1161,0.1605,0.2078,0.7239,0.1994
347,108,0.1164,0.1436,0.4559,0.5241,0.1993
58,26,0.1477,0.2364,0.27,0.2746,0.1992
645,241,0.1277,0.146,0.5923,0.3228,0.1992
64,152,0.18,0.2038,0.2448,0.2351,0.1991
342,169,0.1255,0.1074,0.4559,0.5849,0.1991
264,92,0.1283,0.1258,0.5923,0.3794,0.1991
134,279,0.107,0.2446,0.3971,0.3228,0.1989
58,286,0.1163,0.2255,0.4559,0.2746,0.1989
264,95,0.1477,0.2068,0.3554,0.2746,0.1989
581,203,0.1105,0.2707,0.2078,0.4151,0.1988
638,250,0.1269,0.1862,0.27,0.5241,0.1987
106,363,0.1045,0.0948,0.4559,0.7239,0.1987
249,7,0.1435,0.233,0.2957,0.2746,0.1987
95,367,0.162,0.1792,0.3629,0.2746,0.1985
134,321,0.1037,0.1167,0.5923,0.5241,0.1985
619,27,0.1282,0.2233,0.3501,0.3228,0.1984
264,62,0.1099,0.1539,0.5923,0.3794,0.1983
276,363,0.1423,0.1233,0.4559,0.4459,0.1983
355,260,0.1093,0.1562,0.3509,0.6159,0.1982
77,246,0.1703,0.2239,0.2078,0.2509,0.1982
185,194,0.1311,0.12,0.3509,0.6159,0.1982
279,157,0.1017,0.2379,0.4849,0.2746,0.1982
508,170,0.1244,0.148,0.5923,0.3228,0.1981
508,92,0.1043,0.1621,0.5923,0.3794,0.198
619,60,0.1227,0.145,0.2078,0.7239,0.198
230,194,0.1596,0.2028,0.3509,0.2226,0.198
191,260,0.1055,0.2754,0.3509,0.2746,0.1979
347,285,0.115,0.0652,0.5923,0.6159,0.1979
352,294,0.1592,0.202,0.3005,0.2746,0.1978
325,349,0.1057,0.2236,0.4559,0.3228,0.1978
134,367,0.1064,0.1763,0.4716,0.4459,0.1978
185,31,0.116,0.1435,0.3509,0.6159,0.1977
172,204,0.1243,0.145,0.3509,0.57,0.1977
15,343,0.1013,0.0967,0.4559,0.7239,0.1976
355,297,0.1033,0.3024,0.3189,0.2337,0.1976
423,275,0.1073,0.2041,0.3509,0.4758,0.1975
276,279,0.1159,0.2413,0.3971,0.2746,0.1975
234,169,0.1108,0.1277,0.5923,0.4459,0.1975
638,206,0.102,0.0853,0.5923,0.6159,0.1974
221,31,0.1139,0.2384,0.4559,0.2337,0.1974
264,166,0.1068,0.3042,0.2936,0.2337,0.1974
347,238,0.1076,0.1696,0.4034,0.5241,0.1974
355,127,0.104,0.323,0.2092,0.2746,0.1973
447,279,0.1131,0.2758,0.3056,0.2746,0.1973
298,285,0.1357,0.1733,0.4559,0.3183,0.1973
234,84,0.102,0.2413,0.4637,0.2746,0.1972
656,218,0.1062,0.2068,0.2971,0.5241,0.1972
264,79,0.1204,0.2647,0.3413,0.2337,0.1971
298,72,0.1218,0.2946,0.2078,0.2708,0.1971
80,241,0.1211,0.1739,0.27,0.5734,0.197
13,32,0.1019,0.1286,0.3509,0.7239,0.197
380,223,0.1122,0.1382,0.27,0.7239,0.197
581,241,0.1224,0.224,0.27,0.4151,0.1969
234,95,0.1111,0.2446,0.3554,0.3228,0.1968
80,170,0.1179,0.2068,0.27,0.4879,0.1968
432,343,0.1226,0.1248,0.4559,0.5241,0.1968
454,203,0.1317,0.2886,0.2078,0.2357,0.1968
121,353,0.1104,0.2598,0.2554,0.3794,0.1967
249,137,0.1233,0.1105,0.4034,0.6159,0.1967
626,223,0.1071,0.1185,0.3509,0.7239,0.1966
272,108,0.1142,0.2567,0.3509,0.2743,0.1966
35,92,0.1138,0.2764,0.3509,0.2174,0.1966
23,203,0.1032,0.2943,0.3509,0.2163,0.1966
384,155,0.1725,0.1339,0.3509,0.3499,0.1965
508,363,0.1195,0.177,0.4559,0.3794,0.1964
15,213,0.1064,0.1665,0.2078,0.7239,0.1964
298,194,0.1364,0.2043,0.3509,0.3183,0.1964
69,30,0.1102,0.2369,0.3509,0.3511,0.1964
460,31,0.1094,0.0787,0.4559,0.7239,0.1963
432,260,0.1205,0.1618,0.3509,0.5241,0.1963
508,286,0.1057,0.1995,0.4559,0.3794,0.1962
522,363,0.1285,0.2058,0.3509,0.3511,0.1962
528,343,0.1173,0.1989,0.4559,0.3228,0.1962
641,286,0.1108,0.2255,0.4559,0.2746,0.1961
121,363,0.1212,0.1923,0.4559,0.3228,0.1961
3,238,0.1142,0.1539,0.4034,0.5241,0.196
264,42,0.1006,0.2698,0.3242,0.3228,0.196
492,190,0.1179,0.2299,0.446,0.2337,0.1959
264,32,0.1351,0.1844,0.3509,0.3794,0.1959
355,0,0.1029,0.2287,0.3128,0.4459,0.1959
2,72,0.1136,0.3153,0.2078,0.2367,0.1958
647,155,0.1981,0.1331,0.27,0.2987,0.1958
2,204,0.1119,0.2566,0.3509,0.2782,0.1958
648,230,0.1013,0.2402,0.3509,0.3794,0.1957
134,62,0.1332,0.0579,0.5923,0.5241,0.1956
657,46,0.1171,0.2212,0.2078,0.4993,0.1956
95,286,0.1351,0.2017,0.3509,0.3228,0.1954
180,203,0.1261,0.1808,0.2078,0.5734,0.1954
172,203,0.1243,0.1371,0.3509,0.57,0.1954
660,265,0.1574,0.2496,0.2043,0.2127,0.1953
3,205,0.1186,0.0961,0.4559,0.6159,0.1953
585,363,0.1359,0.1809,0.4559,0.2746,0.1953
39,363,0.1141,0.1385,0.3509,0.6159,0.1953
656,303,0.1352,0.1768,0.2228,0.5241,0.1953
325,194,0.1196,0.1919,0.4559,0.3228,0.1953
403,363,0.1472,0.162,0.3509,0.3789,0.1952
185,95,0.1441,0.1708,0.2735,0.4459,0.1952
172,263,0.1063,0.1316,0.4559,0.57,0.1952
280,285,0.1042,0.2386,0.3509,0.3635,0.1951
517,363,0.1262,0.2058,0.3509,0.3511,0.195
172,170,0.1225,0.1322,0.4559,0.485,0.195
236,279,0.1121,0.2041,0.3971,0.3794,0.1949
69,255,0.1172,0.2562,0.2956,0.2987,0.1949
656,213,0.1191,0.1761,0.2078,0.6159,0.1948
432,365,0.1873,0.0896,0.2968,0.4459,0.1948
583,140,0.1124,0.214,0.4559,0.2863,0.1946
80,203,0.1245,0.1808,0.2078,0.5734,0.1946
134,79,0.1142,0.2368,0.3413,0.3228,0.1946
421,108,0.1205,0.2042,0.4559,0.2746,0.1945
622,32,0.1176,0.234,0.27,0.3843,0.1945
69,363,0.1252,0.2058,0.3509,0.3511,0.1945
472,75,0.1061,0.1518,0.3435,0.6159,0.1945
638,279,0.1114,0.2041,0.3971,0.3794,0.1945
645,263,0.1185,0.1458,0.5923,0.3228,0.1945
249,148,0.1342,0.0671,0.4559,0.6159,0.1944
3,281,0.1001,0.1238,0.4559,0.6159,0.1944
648,213,0.1669,0.1741,0.2078,0.3794,0.1944
64,263,0.1032,0.2575,0.4559,0.2001,0.1944
325,71,0.1404,0.2321,0.27,0.2746,0.1943
619,244,0.1279,0.181,0.4375,0.3228,0.1943
264,242,0.1169,0.2096,0.3509,0.3794,0.1943
638,275,0.1045,0.1014,0.5923,0.5241,0.1943
445,285,0.1086,0.0943,0.5923,0.5241,0.1943
106,203,0.1014,0.0856,0.4559,0.7239,0.1943
272,194,0.1286,0.2087,0.3509,0.3224,0.1942
371,241,0.115,0.1668,0.5923,0.2746,0.1942
558,306,0.1254,0.2342,0.2724,0.3399,0.1942
522,30,0.1058,0.2369,0.3509,0.3511,0.1942
548,241,0.1308,0.1919,0.27,0.441,0.1941
438,367,0.1636,0.2157,0.215,0.2611,0.1941
236,250,0.1177,0.1862,0.27,0.5241,0.1941
508,194,0.1195,0.1695,0.4559,0.3794,0.1941
264,223,0.114,0.2134,0.3509,0.3794,0.194
492,343,0.1244,0.1388,0.4559,0.4459,0.194
508,206,0.1166,0.1282,0.5923,0.3794,0.1939
619,255,0.1028,0.2401,0.2591,0.4459,0.1939
347,400,0.1053,0.0678,0.5923,0.6159,0.1938
55,108,0.126,0.252,0.3509,0.2014,0.1938
347,205,0.1152,0.0967,0.4559,0.6159,0.1938
249,32,0.116,0.1215,0.27,0.7239,0.1938
79,286,0.1126,0.1989,0.4559,0.3228,0.1938
472,160,0.1289,0.1514,0.2228,0.6159,0.1938
380,179,0.1024,0.144,0.27,0.7239,0.1938
619,343,0.1081,0.0723,0.4559,0.7239,0.1937
339,286,0.1267,0.247,0.27,0.2928,0.1937
626,363,0.1033,0.0803,0.4559,0.7239,0.1937
645,0,0.1795,0.0896,0.3242,0.4459,0.1936
44,205,0.128,0.1723,0.4559,0.3228,0.1936
639,303,0.1043,0.2226,0.2228,0.5241,0.1936
310,235,0.1311,0.1172,0.4034,0.5241,0.1935
64,294,0.1573,0.2021,0.3382,0.204,0.1935
374,263,0.1074,0.1198,0.5923,0.4459,0.1935
230,363,0.1596,0.1877,0.3509,0.2226,0.1934
2,194,0.1196,0.2354,0.3509,0.2782,0.1933
656,157,0.1165,0.1971,0.4849,0.2746,0.1933
310,194,0.1212,0.12,0.3509,0.6159,0.1933
27,62,0.1111,0.1541,0.5923,0.3228,0.1933
339,13,0.125,0.2216,0.2338,0.4088,0.1932
69,263,0.104,0.2016,0.4559,0.3511,0.1932
185,205,0.1331,0.0998,0.3509,0.6159,0.1932
69,31,0.1027,0.2389,0.3509,0.3511,0.1932
55,194,0.1465,0.2035,0.3509,0.2367,0.1931
134,169,0.1041,0.0981,0.5923,0.5241,0.1931
508,169,0.1378,0.0902,0.5923,0.3794,0.1931
276,30,0.1078,0.1633,0.4559,0.4459,0.1931
271,306,0.1231,0.2342,0.2724,0.3399,0.193
185,241,0.1012,0.1173,0.4559,0.6159,0.193
15,167,0.1163,0.0912,0.3509,0.7239,0.193
298,32,0.1426,0.2092,0.27,0.3183,0.1929
648,260,0.1178,0.2033,0.3509,0.3794,0.1929
249,305,0.129,0.1682,0.2555,0.5241,0.1929
280,194,0.1114,0.2463,0.27,0.3635,0.1929
528,263,0.1019,0.1679,0.5923,0.3228,0.1928
638,16,0.1048,0.2531,0.4114,0.2337,0.1928
289,231,0.1199,0.1533,0.4559,0.4126,0.1928
350,241,0.1331,0.1319,0.5923,0.2746,0.1928
657,194,0.1093,0.177,0.3509,0.4993,0.1927
13,223,0.107,0.1058,0.3509,0.7239,0.1927
604,26,0.1563,0.1068,0.2078,0.6159,0.1926
15,46,0.1147,0.1195,0.27,0.7239,0.1926
612,31,0.1015,0.0793,0.4559,0.7239,0.1925
347,204,0.1013,0.1153,0.4559,0.6159,0.1925
604,275,0.1073,0.136,0.4559,0.5241,0.1924
517,30,0.1022,0.2369,0.3509,0.3511,0.1924
447,140,0.1088,0.2165,0.3509,0.3794,0.1924
656,27,0.1197,0.2333,0.3501,0.2746,0.1923
522,255,0.1121,0.2562,0.2956,0.2987,0.1923
279,238,0.1123,0.1444,0.4034,0.5241,0.1922
399,48,0.1116,0.2754,0.2597,0.2782,0.1922
638,297,0.1227,0.2522,0.3189,0.2337,0.1922
310,260,0.1313,0.1266,0.27,0.6159,0.1922
489,204,0.1458,0.2043,0.27,0.3093,0.1921
522,263,0.1019,0.2016,0.4559,0.3511,0.1921
185,363,0.1311,0.0997,0.3509,0.6159,0.1921
234,83,0.1175,0.2386,0.3413,0.2746,0.192
134,302,0.1078,0.2237,0.2644,0.4459,0.192
441,140,0.1058,0.1567,0.3509,0.57,0.192
421,30,0.1079,0.2001,0.4559,0.3228,0.1919
472,275,0.1048,0.0622,0.5923,0.6159,0.1919
656,16,0.1116,0.2384,0.4114,0.2337,0.1918
18,72,0.1147,0.1735,0.2078,0.6159,0.1918
371,263,0.1142,0.1596,0.5923,0.2746,0.1917
488,108,0.111,0.2257,0.3509,0.334,0.1917
4,148,0.123,0.0618,0.5923,0.5241,0.1917
441,302,0.1152,0.1891,0.2035,0.57,0.1917
249,88,0.102,0.3057,0.2155,0.2746,0.1917
249,161,0.1084,0.1681,0.2554,0.6159,0.1917
441,191,0.107,0.0852,0.4559,0.6699,0.1916
134,242,0.1075,0.1678,0.3509,0.5241,0.1916
487,108,0.1042,0.2567,0.3509,0.2743,0.1916
243,286,0.1079,0.1989,0.4559,0.3228,0.1915
619,265,0.1109,0.2041,0.2246,0.5241,0.1915
339,194,0.1154,0.2583,0.27,0.2928,0.1915
447,223,0.1288,0.185,0.27,0.4459,0.1915
659,265,0.158,0.1511,0.2246,0.4459,0.1914
18,0,0.1016,0.2138,0.2407,0.5241,0.1914
380,250,0.1253,0.1544,0.2078,0.6159,0.1914
660,246,0.1377,0.2203,0.27,0.2937,0.1913
604,367,0.1543,0.0848,0.3629,0.5241,0.1913
403,241,0.1235,0.1531,0.4559,0.3789,0.1912
95,205,0.1351,0.1878,0.3509,0.3228,0.1912
644,72,0.1246,0.2321,0.27,0.3228,0.1912
352,353,0.1657,0.1273,0.2554,0.4459,0.1912
481,281,0.1016,0.1897,0.4559,0.3794,0.1912
604,321,0.1127,0.0921,0.4559,0.6159,0.1912
612,324,0.1125,0.1101,0.4034,0.6159,0.1912
172,285,0.1154,0.1027,0.4559,0.57,0.1911
648,166,0.1141,0.2707,0.2936,0.2337,0.191
347,203,0.1013,0.1103,0.4559,0.6159,0.1909
604,205,0.1356,0.0881,0.3509,0.6159,0.1909
221,363,0.1686,0.1255,0.4559,0.2337,0.1909
421,194,0.1224,0.1727,0.4559,0.3228,0.1909
494,205,0.1,0.1122,0.4559,0.6159,0.1908
58,260,0.1157,0.2348,0.3509,0.2746,0.1908
311,241,0.1081,0.1668,0.5923,0.2746,0.1908
134,83,0.1142,0.2241,0.3413,0.3228,0.1908
264,278,0.1012,0.3069,0.2472,0.2337,0.1907
12,258,0.1234,0.1565,0.3509,0.4699,0.1907
585,194,0.1359,0.1657,0.4559,0.2746,0.1907
599,123,0.1275,0.2267,0.3382,0.2509,0.1907
619,167,0.1271,0.0655,0.3509,0.7239,0.1907
249,375,0.1183,0.1515,0.2446,0.6159,0.1906
180,285,0.1301,0.1373,0.27,0.5734,0.1906
15,276,0.1049,0.0667,0.4559,0.7239,0.1905
432,64,0.1045,0.2426,0.2745,0.3794,0.1904
4,400,0.1008,0.0638,0.5923,0.6159,0.1904
23,194,0.116,0.2524,0.3509,0.2163,0.1904
626,375,0.116,0.1296,0.3178,0.6159,0.1903
352,303,0.1657,0.1244,0.2554,0.4459,0.1903
487,95,0.1216,0.2629,0.2735,0.2334,0.1903
534,285,0.1049,0.181,0.4559,0.3794,0.1903
355,343,0.1099,0.0934,0.4559,0.6159,0.1902
39,349,0.1128,0.1236,0.3509,0.6159,0.1902
508,238,0.1005,0.2241,0.4034,0.3228,0.1901
638,372,0.1013,0.2127,0.2324,0.5241,0.1901
487,203,0.1035,0.2364,0.3509,0.3224,0.19
421,91,0.1011,0.2878,0.2078,0.3228,0.1899
489,108,0.137,0.2268,0.27,0.2632,0.1898
280,260,0.1141,0.1957,0.3509,0.3888,0.1897
341,104,0.1659,0.2159,0.2078,0.2119,0.1897
144,238,0.1416,0.1705,0.4034,0.2746,0.1897
15,372,0.1014,0.1803,0.2324,0.6159,0.1896
560,302,0.1208,0.2781,0.2035,0.2542,0.1896
445,260,0.1157,0.1475,0.3509,0.5241,0.1896
236,372,0.1002,0.2127,0.2324,0.5241,0.1896
121,32,0.1523,0.1532,0.3509,0.3228,0.1895
593,49,0.1846,0.1008,0.4093,0.2608,0.1895
191,363,0.1244,0.1809,0.4559,0.2746,0.1895
276,213,0.1236,0.2077,0.2078,0.4459,0.1895
489,194,0.1483,0.1912,0.27,0.3093,0.1894
216,367,0.1234,0.142,0.4716,0.3794,0.1894
44,213,0.1236,0.248,0.2078,0.3228,0.1893
234,32,0.1162,0.1718,0.3509,0.4459,0.1893
236,340,0.1113,0.1496,0.3629,0.5241,0.1892
153,286,0.1188,0.2158,0.2078,0.4431,0.1892
619,157,0.1195,0.1623,0.4849,0.3228,0.1892
276,95,0.1068,0.226,0.3554,0.3228,0.1891
592,263,0.1058,0.1845,0.3509,0.4562,0.189
432,127,0.1891,0.1672,0.2092,0.2337,0.189
24,49,0.1906,0.0823,0.3893,0.3003,0.189
441,205,0.1274,0.0775,0.3509,0.6699,0.189
180,92,0.1153,0.1567,0.27,0.5734,0.189
517,255,0.1055,0.2562,0.2956,0.2987,0.189
585,72,0.1287,0.2475,0.27,0.2337,0.1889
644,260,0.1098,0.2033,0.3509,0.3794,0.1889
638,340,0.1106,0.1496,0.3629,0.5241,0.1889
144,367,0.1569,0.1189,0.4716,0.2746,0.1888
522,260,0.1184,0.2249,0.27,0.3511,0.1888
3,31,0.1042,0.0979,0.4559,0.6159,0.1887
55,285,0.1253,0.1894,0.4559,0.2367,0.1887
489,241,0.123,0.2039,0.3509,0.3093,0.1887
243,213,0.1222,0.248,0.2078,0.3228,0.1886
18,190,0.1036,0.2151,0.3432,0.3794,0.1886
447,95,0.1197,0.2305,0.2735,0.3228,0.1886
276,170,0.1127,0.1165,0.5923,0.3794,0.1885
79,213,0.122,0.248,0.2078,0.3228,0.1885
13,197,0.1045,0.2796,0.249,0.2746,0.1885
69,260,0.1179,0.2249,0.27,0.3511,0.1885
592,194,0.1185,0.1885,0.27,0.4562,0.1884
372,275,0.119,0.2247,0.3509,0.2638,0.1884
311,203,0.1103,0.2007,0.4559,0.2746,0.1884
264,148,0.1526,0.0683,0.5923,0.3228,0.1883
488,194,0.1162,0.1858,0.3509,0.3926,0.1882
134,138,0.1077,0.2788,0.2736,0.2337,0.1882
659,205,0.1167,0.0756,0.4559,0.6159,0.1882
489,263,0.1011,0.2386,0.3509,0.3093,0.1882
399,263,0.1049,0.1341,0.4559,0.4993,0.1882
310,263,0.1009,0.102,0.4559,0.6159,0.1882
489,363,0.1483,0.1869,0.27,0.3093,0.1882
372,285,0.1352,0.1817,0.3509,0.31,0.1882
508,275,0.1165,0.1279,0.5923,0.3228,0.1881
134,82,0.1015,0.2137,0.2078,0.5241,0.188
432,194,0.1293,0.0844,0.4559,0.5241,0.188
619,84,0.1094,0.1411,0.4637,0.4459,0.188
648,223,0.1268,0.1719,0.3509,0.3794,0.188
35,194,0.1831,0.1585,0.27,0.2174,0.1879
441,95,0.1103,0.1897,0.2735,0.485,0.1879
371,203,0.1093,0.2007,0.4559,0.2746,0.1879
642,238,0.1563,0.1536,0.4034,0.2337,0.1879
509,363,0.1286,0.1806,0.27,0.4238,0.1878
264,170,0.1194,0.1222,0.5923,0.3228,0.1878
481,363,0.1139,0.1573,0.4559,0.3794,0.1877
249,287,0.1045,0.0582,0.4559,0.7239,0.1877
121,204,0.1044,0.192,0.4559,0.3228,0.1877
492,363,0.1288,0.11,0.4559,0.4459,0.1876
638,32,0.1285,0.0888,0.3509,0.6159,0.1876
264,321,0.101,0.1331,0.5923,0.3794,0.1876
553,49,0.1919,0.093,0.315,0.3228,0.1876
622,204,0.1152,0.1879,0.3509,0.3843,0.1875
448,31,0.1187,0.1973,0.4559,0.2337,0.1875
657,250,0.1177,0.2177,0.2078,0.4248,0.1875
560,30,0.1038,0.2353,0.3509,0.2987,0.1875
583,367,0.1554,0.1793,0.2793,0.281,0.1875
534,194,0.109,0.2,0.3509,0.3794,0.1875
339,363,0.1154,0.2448,0.27,0.2928,0.1874
432,160,0.1073,0.223,0.2228,0.4459,0.1874
592,108,0.1062,0.2283,0.27,0.3882,0.1874
487,194,0.115,0.2087,0.3509,0.3224,0.1874
180,108,0.1287,0.1784,0.2078,0.4879,0.1874
656,138,0.1,0.2753,0.2736,0.2746,0.1874
437,153,0.1402,0.1764,0.3986,0.2448,0.1873
386,367,0.1171,0.1031,0.3629,0.6159,0.1873
347,279,0.1029,0.1941,0.3971,0.3794,0.1873
528,203,0.1234,0.1589,0.4559,0.3228,0.1873
291,400,0.1039,0.1623,0.5923,0.2746,0.1873
310,363,0.1212,0.0997,0.3509,0.6159,0.1872
416,363,0.119,0.0685,0.4559,0.6159,0.1872
619,305,0.1068,0.1604,0.332,0.5241,0.1871
416,59,0.146,0.1058,0.2078,0.6159,0.1871
494,223,0.113,0.1129,0.3509,0.6159,0.187
298,108,0.1133,0.2272,0.3509,0.2708,0.187
15,353,0.1176,0.1477,0.2228,0.6159,0.187
185,140,0.1097,0.1489,0.3509,0.5241,0.187
249,261,0.1207,0.1652,0.247,0.5241,0.187
489,286,0.1223,0.2262,0.27,0.3093,0.1869
534,363,0.109,0.1979,0.3509,0.3794,0.1869
114,169,0.1253,0.1833,0.4559,0.2367,0.1869
216,104,0.1073,0.1489,0.27,0.6159,0.1869
